Name,Team,Matches played,Successful tackles,Total tackles,Successful tackles points %
Sandeep Kumar Dhull,Jaipur Pink Panthers,20,60,133,50.37
Sumit,U.P. Yoddha,17,58,106,54.71
Fazel Atrachali,U Mumba,18,54,97,58.76
Vishal Bhardwaj,Telugu Titans,18,52,105,58.09
Baldev Singh,Bengal Warriors,19,51,100,56
Ravinder Pahal,Dabang Delhi K.C.,18,49,114,42.98
Rinku Narwal,Bengal Warriors,19,49,108,47.22
Neeraj Kumar,Patna Pirates,19,47,108,47.22
PO Surjeet Singh,Puneri Paltan,19,46,103,49.51
Jaideep,Patna Pirates,19,45,104,46.15
